Year;Quarter;Percentage in 4 hours or less (all)
2004-05;Q1: April - June;94.7%
2004-05;Q2: July - Sept;95.9%
2004-05;Q3: Oct - Dec;96.8%
2004-05;Q4: Jan - Mar;97.3%
2005-06;Q1: April - June;98.2%
2005-06;Q2: July - Sept;98.8%
2005-06;Q3: Oct - Dec;98.2%
2005-06;Q4: Jan - Mar;97.5%
2006-07;Q1: April - June;98.3%
2006-07;Q2: July - Sept;98.5%
2006-07;Q3: Oct - Dec;98.2%
2006-07;Q4: Jan - Mar;97.7%
2007-08;Q1: April - June;98.3%
2007-08;Q2: July - Sept;98.4%
2007-08;Q3: Oct - Dec;97.4%
2007-08;Q4: Jan - Mar;97.5%
2008-09;Q1: April - June;98.3%
2008-09;Q2: July - Sept;98.7%
2008-09;Q3: Oct - Dec;97.5%
2008-09;Q4: Jan - Mar;97.7%
2009-10;Q1: April - June;98.6%
2009-10;Q2: July - Sept;98.7%
2009-10;Q3: Oct - Dec;97.8%
2009-10;Q4: Jan - Mar;97.9%
2010-11;Q1: April - June;98.4%
2010-11;Q2: July - Sept;98.0%
2010-11;Q3: Oct - Dec;96.5%
2010-11;Q4: Jan - Mar;96.6%
2011-12;Q1: April - June;97.0%
2011-12;Q2: July - Sept;97.3%
2011-12;Q3: Oct - Dec;96.3%
2011-12;Q4: Jan - Mar;95.8%
2012-13;Q1: April - June;96.6%
2012-13;Q2: July - Sept;96.9%
2012-13;Q3: Oct - Dec;95.7%
2012-13;Q4: Jan - Mar;94.1%
2013-14;Q1: April - June;95.7%
2013-14;Q2: July - Sep;96.3%
2013-14;Q3: Oct - Dec;95.6%
2013-14;Q4: Jan - Mar;95.2%
2014-15;Q1: April - June;95.1%
2014-15;Q2: July - Sep;95.0%
2014-15;Q3: Oct - Dec;92.6%
2014-15;Q4: Jan - Mar;91.8%
2015-16;Q1: April - June;94.1%
2015-16;Q2: July - Sep;94.2%
2015-16;Q3: Oct - Dec;91.5%
2015-16;Q4: Jan - Mar;87.9%
2016-17;Q1: April - June;90.3%
2016-17;Q2: July - Sep;90.6%
2016-17;Q3: Oct- Dec;87.9%
2016-17;Q4: Jan - Mar;87.6%
2017-18;Q1: April - June;90.3%
2017-18;Q2: July - Sept;90.1%
2017-18;Q3: Oct - Dec;87.9%
2017-18;Q4: Jan - Mar;85.0%
2018-19;Q1: April - June;89.9%
2018-19;Q2: July - Sept;89.3%
2018-19;Q3: Oct - Dec;87.7%
2018-19;Q4: Jan - Mar;85.1%
2019-20;Q1: April - June;86.0%
2019-20;Q2: July - Sept;86.0%
2019-20;Q3: Oct - Dec;81.6%
2019-20;Q4: Jan - Mar;82.8%
2020-21;Q1: April - June;92.4%
2020-21;Q2: July - Sept;89.4%
2020-21;Q3: Oct - Dec;82.9%
2020-21;Q4: Jan - Mar;83.1%
2021-22;Q1: April - June;83.4%
2021-22;Q2: July - Sept;76.7%
2021-22;Q3: Oct - Dec;73.8%
2021-22;Q4: Jan - Mar;73.0%
2022-23;Q1: April - June;72.4%
2022-23;Q2: July - Sept;71.3%
2022-23;Q3: Oct - Dec;67.9%
2022-23;Q4: Jan - Mar;71.8%
2023-24;Q1: April - June;74.2%
2023-24;Q2: July - Sept;72.9%
2023-24;Q3: Oct - Dec;69.9%
2023-24;Q4: Jan - Mar;72.0%
2024-25;Q1: April - June;74.3%