Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Afghanistan,AFG,..,0.003,0.004,0.009,0.013,0.017,0.016,0.016,0.011,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Albania,ALB,..,4.43,5,5.04,5.13,5.13,5.11,5.11,4.47,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Algeria,DZA,..,0.3,0.56,0.58,0.6,0.61,0.61,0.61,0.54,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Andorra,AND,..,12.55,10.38,10.76,11.19,11.1,11.05,11.05,9.68,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Angola,AGO,..,5.19,8.32,7.76,7.01,6.67,6.17,6.17,4.13,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Antigua and Barbuda,ATG,..,5.29,7.24,7.39,7.73,8.26,8.51,8.51,6.66,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Argentina,ARG,..,6.73,8.63,8.57,8.6,8.34,8.04,8.04,8.05,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Armenia,ARM,..,3.71,4.99,4.98,4.88,4.85,4.98,4.98,4.28,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Australia,AUS,..,10.55,10.46,10.39,10.25,10.19,10.09,10.09,10.29,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Austria,AUT,..,12.89,12.33,12.19,11.93,11.92,11.97,11.97,11.51,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Azerbaijan,AZE,..,1.57,1.4,1.44,1.46,1.59,1.97,1.97,2.49,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,"Bahamas, The",BHS,..,4.83,4.35,4.36,4.37,4.38,4.39,4.39,3.65,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Bahrain,BHR,..,2.69,2,1.89,1.77,1.65,1.58,1.58,1.25,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Bangladesh,BGD,..,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.092,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Barbados,BRB,..,7.02,8.85,9.18,9.4,9.49,9.47,9.47,8.22,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Belarus,BLR,..,12.63,11.96,11.04,10.55,10.64,10.9,10.9,11.63,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Belgium,BEL,..,11.42,11.56,11.24,10.79,10.38,10.28,10.28,9.43,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Belize,BLZ,..,4.68,6.37,6.34,6.15,5.92,5.71,5.71,3.67,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Benin,BEN,..,2.52,8.45,8.1,7.9,8.09,8.35,8.35,8.83,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Bhutan,BTN,..,3.16,0.57,0.32,0.18,0.2,0.2,0.2,0.18,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Bolivia,BOL,..,3.14,4.35,4.31,4.26,4.19,4.1,4.1,3.59,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Bosnia and Herzegovina,BIH,..,4.92,5.83,5.95,6.15,6.33,6.38,6.38,5.87,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Botswana,BWA,..,6.94,7.01,7.08,7.32,7.61,8.16,8.16,7.27,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Brazil,BRA,..,8.71,8.34,8.2,8,7.79,7.67,7.67,7.7,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Brunei Darussalam,BRN,..,0.21,0.41,0.41,0.41,0.41,0.41,0.41,0.51,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Bulgaria,BGR,..,11.37,11.18,11.44,11.65,11.85,11.92,11.92,11.62,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Burkina Faso,BFA,..,7.86,9.16,9.66,9.72,9.76,9.81,9.81,11.27,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Burundi,BDI,..,7.48,4.34,4.19,4.19,4.15,4.13,4.13,4.16,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Cabo Verde,CPV,..,4.57,5.52,5.82,6.11,6.25,6.27,6.27,6.01,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Cambodia,KHM,..,1.81,6.55,7.06,7.61,8.13,8.48,8.48,6.67,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Cameroon,CMR,..,10.74,11.72,10.72,10.41,10.16,10.1,10.1,9.6,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Canada,CAN,..,9.38,9.95,9.92,9.92,9.95,9.9,9.9,9.89,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Central African Republic,CAF,..,2.36,1.83,1.94,2.01,2.01,1.99,1.99,1.75,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Chad,TCD,..,2.51,4.55,4.58,4.35,4.05,3.73,3.73,2.91,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Chile,CHL,..,6.55,8.04,7.75,7.02,6.5,6.75,6.75,7.56,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,China,CHN,..,3.62,7.29,7.35,7.18,6.53,5.73,5.73,4.58,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Colombia,COL,..,5.34,4.98,5.02,5,5.01,4.92,4.92,4.24,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Comoros,COM,..,0.16,0.22,0.2,0.23,0.25,0.25,0.25,0.23,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,"Congo, Dem. Rep.",COD,..,8.29,2.58,2.44,2.28,2.2,2.12,2.12,1.92,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,"Congo, Rep.",COG,..,2.83,5.24,5.67,6.12,6.5,6.4,6.4,6.05,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Costa Rica,CRI,..,4.61,3.39,3.5,3.53,3.55,3.45,3.45,3.4,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Cote d'Ivoire,CIV,..,4.21,2.44,2.57,2.65,2.71,2.8,2.8,2.85,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Croatia,HRV,..,10.94,8.69,8.59,8.65,8.63,8.54,8.54,7.65,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Cuba,CUB,..,5.43,5.77,5.85,5.91,5.95,6.01,6.01,5.38,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Cyprus,CYP,..,8.86,8.01,8.12,8.09,8.07,8.05,8.05,6.36,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Czechia,CZE,..,14.22,13.11,13.22,13.2,13.26,13.29,13.29,11.99,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Denmark,DNK,..,11.69,9.6,9.61,9.52,9.5,9.4,9.4,9.49,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Djibouti,DJI,..,0.65,0.59,0.53,0.49,0.47,0.4,0.4,0.38,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Dominica,DMA,..,8.12,6.41,6.31,6.3,6.21,6.1,6.1,5.02,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Dominican Republic,DOM,..,7.91,6.59,6.57,6.64,6.69,6.76,6.76,6.5,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Ecuador,ECU,..,4.17,4.06,3.85,3.53,3.3,3.26,3.26,2.54,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,"Egypt, Arab Rep.",EGY,..,0.14,0.19,0.18,0.16,0.15,0.15,0.15,0.13,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,El Salvador,SLV,..,3.14,2.78,2.89,3.01,3.15,3.28,3.28,3.15,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Equatorial Guinea,GNQ,..,7.75,9.21,8.71,7.87,7.19,6.94,6.94,6.56,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Eritrea,ERI,..,1,1.35,1.32,1.29,1.24,1.23,1.23,1.07,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Estonia,EST,..,10.45,15.64,15.06,13.92,12.33,11.26,11.26,10.68,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Eswatini,SWZ,..,9.43,8.03,7.73,7.74,8.04,8.09,8.09,6.79,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Ethiopia,ETH,..,1.2,2.27,2.52,2.77,3.08,3.36,3.36,3.06,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Fiji,FJI,..,2.41,3.03,3.06,3.05,3.18,3.45,3.45,3.58,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Finland,FIN,..,10,9.66,9.43,9.3,9.23,9.16,9.16,9.08,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,France,FRA,..,13.72,11.73,11.73,11.6,11.4,11.3,11.3,10.32,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Gabon,GAB,..,9.64,8.66,8.6,8.2,7.69,7.33,7.33,8.14,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,"Gambia, The",GMB,..,3.74,2.35,2.07,1.62,1.36,1.11,1.11,0.61,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Georgia,GEO,..,10.57,14.02,13.95,13.97,13.97,14.33,14.33,14.41,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Germany,DEU,..,13.82,12.23,12.15,12.17,12.23,12.22,12.22,11.84,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Ghana,GHA,..,5.32,5.1,5.01,4.71,4.58,4.55,4.55,4.26,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Greece,GRC,..,8.73,7.77,7.48,7.34,7.28,7.12,7.12,5.81,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Grenada,GRD,..,7.69,7.63,7.77,7.84,7.94,8.06,8.06,7.33,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Guatemala,GTM,..,2.41,1.72,1.65,1.62,1.62,1.63,1.63,1.54,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Guinea,GIN,..,0.29,0.45,0.5,0.49,0.47,0.47,0.47,0.52,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Guinea-Bissau,GNB,..,4.15,3.91,3.99,4.08,4.19,4.14,4.14,3.73,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Guyana,GUY,..,5.38,5.87,5.75,5.52,5.41,5.35,5.35,5.04,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Haiti,HTI,..,4.14,3.19,3.22,3.38,3.5,3.45,3.45,3.11,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Honduras,HND,..,3.09,2.91,2.85,2.94,3.06,3.17,3.17,3.08,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Hungary,HUN,..,12.38,10.52,10.68,10.63,10.75,10.6,10.6,9.93,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Iceland,ISL,..,6.92,7.64,7.85,8.07,8.08,8.07,8.07,7.94,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,India,IND,..,1.97,5.02,4.96,4.87,4.87,4.92,4.92,4.1,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Indonesia,IDN,..,0.083,0.11,0.11,0.11,0.11,0.11,0.11,0.074,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,"Iran, Islamic Rep.",IRN,..,0.021,0.42,0.44,0.82,0.97,0.7,0.7,0.51,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Iraq,IRQ,..,0.19,0.23,0.23,0.24,0.24,0.24,0.24,0.24,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Ireland,IRL,..,15.03,11.49,11.71,11.76,11.85,11.7,11.7,10.77,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Israel,ISR,..,2.93,3.03,2.94,2.95,2.97,3.01,3.01,2.84,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Italy,ITA,..,9.95,7.77,7.68,7.61,7.81,7.97,7.97,6.97,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Jamaica,JAM,..,3.34,3.35,3.39,3.47,3.55,3.6,3.6,3.1,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Japan,JPN,..,7.66,6.76,6.72,6.75,6.72,6.68,6.68,6.38,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Jordan,JOR,..,0.49,0.38,0.37,0.34,0.33,0.31,0.31,0.23,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Kazakhstan,KAZ,..,6.64,4.25,4.17,4.19,4.48,4.52,4.52,4.52,..,..,..
