pk-d--flex,pk-identifier,pk-identifier (2),ag-cell-value,ag-cell-value (2),ag-cell-value (3),ag-cell-value (4),ag-cell-value (5),ag-cell-value (6),ag-cell-value (7)
1,Real Madrid,Spain,19.000,30.000,32.000,26.000,35.000,142.000,19.542
2,Barcelona,Spain,27.000,33.000,30.000,24.000,24.000,138.000,19.542
3,Bayern München,Germany,27.000,21.000,30.000,33.000,27.000,138.000,16.328
4,Chelsea,England,19.000,23.000,30.000,27.000,25.000,124.000,16.949
5,Benfica,Portugal,19.000,22.000,21.000,26.000,29.000,117.000,12.459
6,Man Utd,England,25.000,33.000,13.000,18.000,23.000,112.000,16.949
7,Atleti,Spain,21.000,6.000,30.000,10.000,33.000,100.000,19.542
8,Valencia,Spain,16.000,18.000,21.000,19.000,22.000,96.000,19.542
9,Arsenal,England,22.000,19.000,19.000,18.000,18.000,96.000,16.949
10,Porto,Portugal,19.000,28.000,10.000,20.000,16.000,93.000,12.459
12,Lyon,France,25.000,17.000,17.000,12.000,15.000,86.000,11.300
11,Milan,Italy,16.000,16.000,20.000,17.000,16.000,85.000,13.387
13,Inter,Italy,31.000,19.000,18.000,14.000,-,82.000,13.387
14,Schalke,Germany,-,27.000,17.000,19.000,16.000,79.000,16.328
18,Shakhtar,Ukraine,10.000,24.000,8.000,17.000,11.000,70.000,8.193
17,Paris,France,-,12.000,7.000,25.000,25.000,69.000,11.300
20,Basel,Switzerland,6.000,9.000,19.000,16.000,19.000,69.000,6.645
16,Juventus,Italy,15.000,6.000,-,23.000,23.000,67.000,13.387
15,B. Dortmund,Germany,-,7.000,7.000,30.000,22.000,66.000,16.328
21,Zenit,Russia,1.500,16.000,18.000,13.000,16.000,64.500,9.399
27,Olympiacos,Greece,16.000,1.000,16.000,10.000,18.000,61.000,6.720
26,Rubin,Russia,13.000,10.000,8.000,18.000,11.000,60.000,9.399
19,Tottenham,England,-,21.000,7.000,16.000,15.000,59.000,16.949
25,Marseille,France,14.000,18.000,19.000,4.000,4.000,59.000,11.300
28,CSKA Moskva,Russia,20.000,14.000,16.000,1.500,6.000,57.500,9.399
22,Man City,England,-,13.000,17.000,7.000,19.000,56.000,16.949
29,PSV,Netherlands,12.000,18.000,16.000,5.000,5.000,56.000,8.862
24,Leverkusen,Germany,-,13.000,16.000,9.000,16.000,54.000,16.328
30,Ajax,Netherlands,9.000,13.000,12.000,9.000,10.000,53.000,8.862
23,Sevilla,Spain,19.000,9.000,1.500,-,22.000,51.500,19.542
36,Galatasaray,Türkiye,10.000,1.500,-,22.000,15.000,48.500,6.840
31,Napoli,Italy,-,7.000,19.000,6.000,16.000,48.000,13.387
34,Dynamo Kyiv,Ukraine,8.000,17.000,6.000,9.000,8.000,48.000,8.193
35,AZ Alkmaar,Netherlands,8.000,5.000,16.000,1.500,16.000,46.500,8.862
33,Sporting CP,Portugal,12.000,10.000,20.000,4.000,-,46.000,12.459
44,Anderlecht,Belgium,13.000,5.000,12.000,8.000,5.000,43.000,7.260
32,Liverpool,England,21.000,12.000,-,9.000,-,42.000,16.949
43,Twente,Netherlands,8.000,15.000,15.000,4.000,-,42.000,8.862
42,Bordeaux,France,27.000,-,-,12.000,2.000,41.000,11.300
50,Copenhagen,Denmark,7.000,17.000,4.000,6.000,7.000,41.000,4.260
40,Braga,Portugal,1.000,22.000,10.000,6.000,1.500,40.500,12.459
46,Salzburg,Austria,13.000,2.000,7.000,1.000,17.000,40.000,6.185
41,Lazio,Italy,4.000,-,7.000,18.000,10.000,39.000,13.387
38,Stuttgart,Germany,17.000,10.000,-,9.000,1.500,37.500,16.328
48,Metalist,Ukraine,1.500,8.000,18.000,10.000,0.000,37.500,8.193
45,Fiorentina,Italy,21.000,-,-,-,15.000,36.000,13.387
37,Athletic Club,Spain,8.000,-,23.000,4.000,-,35.000,19.542
54,Viktoria Plzeň,Czechia,-,1.000,9.000,14.000,11.000,35.000,5.870
53,Fenerbahçe,Türkiye,11.000,1.500,-,22.000,0.000,34.500,6.840
39,Villarreal,Spain,7.000,23.000,4.000,-,-,34.000,19.542
49,Lille,France,12.000,7.000,9.000,6.000,-,34.000,11.300
56,FCSB,Romania,4.000,5.000,6.000,12.000,7.000,34.000,5.451
62,Celtic,Scotland,5.000,1.500,5.000,16.000,6.000,33.500,3.313
61,APOEL,Cyprus,7.000,1.500,19.000,1.500,4.000,33.000,4.650
58,Genk,Belgium,1.500,1.500,7.000,10.000,11.000,31.000,7.260
59,Standard Liège,Belgium,16.000,-,13.000,-,2.000,31.000,7.260
60,PAOK,Greece,1.500,9.000,10.000,1.500,9.000,31.000,6.720
65,BATE Borisov,Belarus,5.000,9.000,6.000,9.000,1.000,30.000,3.725
47,Fulham,England,23.000,-,6.000,-,-,29.000,16.949
63,Spartak Moskva,Russia,-,18.000,1.500,6.000,1.500,27.000,9.399
55,Roma,Italy,9.000,16.000,1.500,-,-,26.500,13.387
51,Hannover,Germany,-,-,16.000,10.000,-,26.000,16.328
66,Beşiktaş,Türkiye,7.000,9.000,10.000,-,0.000,26.000,6.840
73,H. Tel Aviv,Israel,9.000,8.000,5.000,3.000,1.000,26.000,5.375
69,Club Brugge,Belgium,10.000,3.000,8.000,3.000,1.000,25.000,7.260
74,Trabzonspor,Türkiye,1.500,1.500,10.000,1.500,10.000,24.500,6.840
70,Dnipro,Ukraine,-,1.500,1.500,11.000,10.000,24.000,8.193
76,Panathinaikos,Greece,12.000,6.000,1.500,4.000,-,23.500,6.720
57,Bremen,Germany,15.000,8.000,-,-,-,23.000,16.328
78,Sparta Praha,Czechia,5.000,8.000,1.500,8.000,0.500,23.000,5.870
52,Málaga,Spain,-,-,-,22.000,-,22.000,19.542
75,Anji,Russia,-,-,-,11.000,10.000,21.000,9.399
80,CFR Cluj,Romania,2.000,7.000,-,11.000,-,20.000,5.451
90,GNK Dinamo,Croatia,4.000,5.000,4.000,5.000,2.000,20.000,3.925
92,Rangers,Scotland,6.000,12.000,1.500,-,-,19.500,3.313
64,Hamburg,Germany,18.000,-,-,-,-,18.000,16.328
87,Young Boys,Switzerland,1.000,8.000,1.500,7.000,-,17.500,6.645
91,Austria Wien,Austria,2.000,1.500,6.000,-,8.000,17.500,6.185
77,Udinese,Italy,-,-,12.000,3.000,1.500,16.500,13.387
68,Wolfsburg,Germany,16.000,-,-,-,-,16.000,16.328
71,Newcastle,England,-,-,-,15.000,-,15.000,16.949
104,Ludogorets,Bulgaria,-,-,-,1.000,14.000,15.000,3.125
112,Sheriff,Moldova,4.000,4.000,0.500,1.500,5.000,15.000,2.075
120,Maribor,Slovenia,1.500,1.500,2.000,3.000,6.000,14.000,2.200
111,Lech Poznań,Poland,1.500,10.000,-,1.000,1.000,13.500,3.775
67,Levante,Spain,-,-,-,13.000,-,13.000,19.542
98,SK Rapid,Austria,4.000,2.000,-,2.000,5.000,13.000,6.185
102,Maccabi Haifa,Israel,4.000,1.000,4.000,-,4.000,13.000,5.375
107,M. Tel-Aviv,Israel,-,1.500,2.000,-,9.000,12.500,5.375
72,Real Betis,Spain,-,-,-,-,12.000,12.000,19.542
79,Frankfurt,Germany,-,-,-,-,12.000,12.000,16.328
100,Zürich,Switzerland,7.000,-,4.000,-,1.000,12.000,6.645
126,Partizan,Serbia,2.000,4.000,1.500,3.000,1.500,12.000,2.825
95,Lokomotiv Moskva,Russia,-,1.500,10.000,-,-,11.500,9.399
113,Unirea Urziceni,Romania,10.000,1.500,-,-,-,11.500,5.451
124,Legia Warszawa,Poland,1.000,-,7.000,1.500,2.000,11.500,3.775
114,Liberec,Czechia,1.500,-,-,1.500,8.000,11.000,5.870
115,AEK Athens,Greece,3.000,5.000,2.000,-,-,10.000,6.720
132,Wisła Kraków,Poland,1.000,1.000,8.000,-,-,10.000,3.775
125,Vaslui,Romania,1.500,1.500,5.000,1.500,-,9.500,5.451
81,Mönchengladbach,Germany,-,-,-,9.000,-,9.000,16.328
122,Bursaspor,Türkiye,-,5.000,1.500,1.500,1.000,9.000,6.840
135,Esbjerg,Denmark,-,-,-,-,9.000,9.000,4.260
136,Nordsjælland,Denmark,-,1.000,1.500,5.000,1.500,9.000,4.260
144,Levski,Bulgaria,2.000,5.000,1.000,0.500,0.250,8.750,3.125
149,Rosenborg,Norway,0.500,2.000,1.500,4.000,0.500,8.500,2.855
82,Stoke,England,-,-,8.000,-,-,8.000,16.949
83,Everton,England,8.000,-,-,-,-,8.000,16.949
86,Hertha,Germany,8.000,-,-,-,-,8.000,16.328
121,Chornomorets Odesa,Ukraine,-,-,-,-,8.000,8.000,8.193
127,Aris Thessaloniki,Greece,-,8.000,-,-,-,8.000,6.720
133,Dinamo Bucureşti,Romania,4.000,1.000,1.500,1.500,-,8.000,5.451
150,Elfsborg,Sweden,1.500,1.500,1.000,1.000,3.000,8.000,3.265
159,Debrecen,Hungary,4.000,2.000,-,1.500,0.500,8.000,2.325
160,Žilina,Slovakia,1.500,4.000,0.500,1.000,1.000,8.000,2.200
118,Heerenveen,Netherlands,6.000,-,-,1.500,-,7.500,8.862
145,OB,Denmark,1.500,3.000,3.000,-,-,7.500,4.260
88,Swansea,England,-,-,-,-,7.000,7.000,16.949
89,Birmingham,England,-,-,7.000,-,-,7.000,16.949
103,Montpellier,France,-,1.000,-,6.000,-,7.000,11.300
131,Gent,Belgium,1.000,5.000,-,1.000,-,7.000,7.260
137,Sturm Graz,Austria,3.000,1.500,2.000,-,0.500,7.000,6.185
99,Marítimo,Portugal,-,1.500,-,5.000,-,6.500,12.459
172,Molde,Norway,-,1.000,-,4.000,1.500,6.500,2.855
173,Crvena Zvezda,Serbia,1.500,1.000,1.500,1.500,1.000,6.500,2.825
182,S. Bratislava,Slovakia,1.500,1.500,2.000,0.500,1.000,6.500,2.200
196,Aktobe,Kazakhstan,1.500,1.500,1.000,1.000,1.500,6.500,1.650
203,Ventspils,Latvia,3.000,0.500,1.000,1.000,1.000,6.500,1.250
97,Palermo,Italy,-,5.000,1.000,-,-,6.000,13.387
110,Auxerre,France,-,6.000,-,-,-,6.000,11.300
163,Hajduk Split,Croatia,1.000,2.000,1.000,1.000,1.000,6.000,3.925
176,CSKA Sofia,Bulgaria,2.000,2.000,1.500,0.500,-,6.000,3.125
212,Helsinki,Finland,0.500,1.500,1.500,1.500,1.000,6.000,1.435
220,Ekranas,Lithuania,1.000,1.000,1.500,1.500,1.000,6.000,1.050
197,Fehérvár,Hungary,-,0.500,1.000,4.000,0.250,5.750,2.325
105,Vitória SC,Portugal,-,-,1.500,-,4.000,5.500,12.459
106,Nacional,Portugal,4.000,-,1.500,-,-,5.500,12.459
129,Utrecht,Netherlands,-,5.000,-,-,0.500,5.500,8.862
151,Timişoara,Romania,4.000,1.500,-,-,-,5.500,5.451
161,Omonoia,Cyprus,1.000,1.500,1.500,1.000,0.500,5.500,4.650
179,Helsingborg,Sweden,1.000,-,1.500,3.000,-,5.500,3.265
188,Tromsø,Norway,1.500,-,0.500,1.500,2.000,5.500,2.855
210,Qarabağ,Azerbaijan,1.500,1.500,1.000,-,1.500,5.500,2.075
84,Real Sociedad,Spain,-,-,-,-,5.000,5.000,19.542
85,Getafe,Spain,-,5.000,-,-,-,5.000,19.542
93,Freiburg,Germany,-,-,-,-,5.000,5.000,16.328
101,Genoa,Italy,5.000,-,-,-,-,5.000,13.387
119,Toulouse,France,5.000,-,-,-,-,5.000,11.300
128,Kuban,Russia,-,-,-,-,5.000,5.000,9.399
143,Zulte Waregem,Belgium,-,-,-,-,5.000,5.000,7.260
177,Rijeka,Croatia,1.000,-,-,-,4.000,5.000,3.925
190,Motherwell,Scotland,1.000,1.500,-,1.500,1.000,5.000,3.313
219,Neftçi,Azerbaijan,-,-,1.000,3.000,1.000,5.000,2.075
221,Dinamo Tbilisi,Georgia,1.000,1.000,1.500,-,1.500,5.000,1.975
134,Feyenoord,Netherlands,-,1.500,-,1.500,1.500,4.500,8.862
174,Anorthosis,Cyprus,0.500,1.500,1.000,1.000,0.500,4.500,4.650
191,Śląsk,Poland,-,-,1.500,1.500,1.500,4.500,3.775
201,Hearts,Scotland,1.500,-,1.500,1.500,-,4.500,3.313
202,AIK,Sweden,-,1.500,-,3.000,-,4.500,3.265
209,Litex,Bulgaria,1.500,1.500,1.500,-,-,4.500,3.125
237,FH,Iceland,1.000,1.000,0.500,0.500,1.500,4.500,1.350
265,The New Saints,Wales,0.250,1.500,0.500,1.000,1.000,4.250,0.600
94,Wigan,England,-,-,-,-,4.000,4.000,16.949
108,Sampdoria,Italy,-,4.000,-,-,-,4.000,13.387
116,Paços Ferreira,Portugal,1.000,-,-,-,3.000,4.000,12.459
117,Académica,Portugal,-,-,-,4.000,-,4.000,12.459
156,St. Gallen,Switzerland,-,-,-,-,4.000,4.000,6.645
169,Oţelul,Romania,-,-,4.000,-,-,4.000,5.451
170,Bnei Yehuda,Israel,1.500,0.500,1.000,1.000,-,4.000,5.375
184,Apollon,Cyprus,-,1.000,-,-,3.000,4.000,4.650
185,AEK Larnaca,Cyprus,-,-,4.000,-,-,4.000,4.650
193,Brøndby,Denmark,1.500,1.500,1.000,-,-,4.000,4.260
227,Vojvodina,Serbia,1.000,-,0.500,1.000,1.500,4.000,2.825
235,Zestafoni,Georgia,0.500,1.000,1.500,1.000,-,4.000,1.975
244,Željezničar,Bosnia and Herzegovina,-,1.000,1.000,1.000,1.000,4.000,1.500
245,Sarajevo,Bosnia and Herzegovina,1.500,-,1.000,1.000,0.500,4.000,1.500
247,KR,Iceland,1.000,0.500,1.000,1.000,0.500,4.000,1.350
255,Shamrock Rovers,Republic of Ireland,-,1.000,2.000,1.000,-,4.000,1.025
258,Differdange,Luxembourg,0.500,0.500,1.500,0.500,1.000,4.000,0.975
259,Diddeleng,Luxembourg,1.000,0.250,1.000,1.500,0.250,4.000,0.975
277,Levadia,Estonia,1.500,1.000,0.500,0.500,0.500,4.000,0.575
246,Shakhter,Kazakhstan,-,0.250,0.500,1.000,2.000,3.750,1.650
269,St. Patrick's,Republic of Ireland,1.500,-,1.000,1.000,0.250,3.750,1.025
279,Linfield,Northern Ireland,0.250,1.000,1.000,1.000,0.500,3.750,0.725
287,Pyunik,Armenia,1.000,1.000,1.000,0.250,0.500,3.750,0.575
146,Metalurh Donetsk,Ukraine,1.500,-,-,1.000,1.000,3.500,8.193
147,Vorskla Poltava,Ukraine,1.500,-,2.000,-,-,3.500,8.193
148,Karpaty,Ukraine,-,2.000,1.500,-,-,3.500,8.193
162,Thun,Switzerland,-,-,1.500,-,2.000,3.500,6.645
171,Jablonec,Czechia,-,1.000,1.000,-,1.500,3.500,5.870
231,Aalesund,Norway,-,1.000,1.500,1.000,-,3.500,2.855
276,Skënderbeu,Albania,-,-,1.000,1.000,1.500,3.500,1.100
278,Rabotnicki,North Macedonia,1.000,1.000,1.500,-,-,3.500,1.050
280,Valletta,Malta,0.500,0.500,1.000,1.000,0.500,3.500,0.966
96,Aston Villa,England,1.500,1.500,-,-,-,3.000,16.949
123,Estoril,Portugal,-,-,-,-,3.000,3.000,12.459
130,Rennes,France,-,-,3.000,-,-,3.000,11.300
142,Dynamo Moscow,Russia,1.500,-,-,1.500,-,3.000,9.399
165,Atromitos,Greece,-,-,-,1.500,1.500,3.000,6.720
167,Grasshoppers,Switzerland,-,1.500,-,-,1.500,3.000,6.645
168,Sion,Switzerland,1.500,-,1.500,-,-,3.000,6.645
178,Slavia Praha,Czechia,3.000,-,-,-,-,3.000,5.870
187,Rapid Bucureşti,Romania,-,-,2.000,1.000,-,3.000,5.451
207,AEL,Cyprus,-,-,-,3.000,-,3.000,4.650
216,Randers,Denmark,1.000,1.000,-,-,1.000,3.000,4.260
229,Dinamo-Minsk,Belarus,0.500,1.500,-,-,1.000,3.000,3.725
232,Dundee United,Scotland,-,1.500,0.500,1.000,-,3.000,3.313
233,Malmö,Sweden,-,-,2.000,-,1.000,3.000,3.265
234,Kalmar,Sweden,1.000,1.000,-,1.000,-,3.000,3.265
252,Spartak Trnava,Slovakia,0.500,-,1.500,1.000,-,3.000,2.200
